,Ticker,Company Name,Country,Sector,Overall ESG RATING,Overall ESG SCORE,Environmental SCORE,Social SCORE,Governance SCORE
111876,NTAP,"NETAPP, INC",US,"Technology Hardware, Storage & Peripherals",A,6.7,4.7,4.4,5.7
112129,NTNX,"NUTANIX, INC",US,Software & Services,BBB,5.7,4.5,4.7,4.8
112382,NTRA,"NATERA, INC",US,Health Care Equipment & Supplies,BB,3.9,6.7,5.0,4.6
112511,NTRS,NORTHERN TRUST CORPORATION,US,Asset Management & Custody Banks,AA,8.2,10.0,5.7,5.0
112764,NUAN,"NUANCE COMMUNICATIONS, INC",US,Software & Services,A,7.1,5.1,5.3,6.4
113017,NUE,NUCOR CORPORATION,US,Steel,BBB,5.5,4.3,5.2,4.7
113270,NUVA,"NUVASIVE, INC",US,Health Care Equipment & Supplies,BBB,5.5,6.4,6.1,4.6
113394,NVAX,"NOVAVAX, INC",US,Biotechnology,BBB,4.5,7.1,4.8,3.7
113458,NVCR,NOVOCURE LIMITED,JE,Health Care Equipment & Supplies,A,5.8,6.4,5.4,5.7
113711,NVDA,NVIDIA CORPORATION,US,Semiconductors & Semiconductor Equipment,AAA,9.1,5.4,7.6,5.6
113964,NVR,"NVR, Inc",US,Real Estate Development & Diversified Activities,BBB,4.6,5.0,3.3,4.6
114217,NVRO,NEVRO CORP,US,Health Care Equipment & Supplies,BBB,5.5,6.3,5.8,4.9
114409,NVT,NVENT ELECTRIC PLC,GB,Electrical Equipment,BBB,4.4,3.5,5.6,6.1
114533,NVTA,INVITAE CORPORATION,US,Biotechnology,BB,3.4,2.9,3.8,5.9
114662,NWE,NORTHWESTERN CORPORATION,US,Utilities,A,6.7,6.0,4.0,7.2
114725,NWL,NEWELL BRANDS INC,US,Household Durables,A,6.2,7.7,3.2,5.9
114726,NWL,Netwealth Group Ltd,AU,Asset Management & Custody Banks,BB,3.5,7.0,3.3,6.4
115231,NWSA,NEWS CORPORATION,US,Media & Entertainment,B,2.1,8.9,4.3,1.8
115484,NXST,"NEXSTAR MEDIA GROUP, INC",US,Media & Entertainment,BB,4.0,8.0,5.7,3.0
115737,NYCB,"NEW YORK COMMUNITY BANCORP, INC",US,Banks,BB,3.0,0.0,3.2,4.3
115990,NYT,THE NEW YORK TIMES COMPANY,US,Media & Entertainment,BBB,5.4,7.3,4.3,5.2
116243,O,REALTY INCOME CORPORATION,US,Real Estate Management & Services,BBB,5.0,4.7,6.0,5.3
116496,OC,OWENS CORNING,US,Building Products,AA,7.7,5.9,7.2,5.4
116749,ODFL,"OLD DOMINION FREIGHT LINE, INC",US,Road & Rail Transport,A,6.7,3.9,3.1,6.4
117002,OGE,OGE ENERGY CORP,US,Utilities,A,7.0,6.6,4.4,6.4
117003,OGE,OKLAHOMA GAS AND ELECTRIC COMPANY,US,Utilities,A,6.1,6.0,3.8,6.1
117508,OGS,"ONE GAS, INC",US,Utilities,A,7.0,4.1,7.2,7.0
117760,OHI,"OMEGA HEALTHCARE INVESTORS, INC",US,Real Estate Management & Services,B,2.1,4.7,1.9,6.3
118013,OKE,"ONEOK PARTNERS, LP",US,"Oil & Gas Refining, Marketing, Transportation & Storage",AA,8.1,5.9,7.0,5.4
118266,OKTA,"OKTA, INC",US,Software & Services,A,6.9,9.0,6.2,3.8
118519,OLED,UNIVERSAL DISPLAY CORPORATION,US,Semiconductors & Semiconductor Equipment,A,7.0,8.3,3.9,4.4
118772,OLLI,"OLLIES BARGAIN OUTLET HOLDINGS, INC",US,Retail - Consumer Discretionary,B,2.7,3.3,2.1,5.2
119025,OMC,OMNICOM GROUP INC,US,Media & Entertainment,BB,3.7,10.0,4.1,3.6
119278,OMCL,"OMNICELL, INC",US,Health Care Equipment & Supplies,BBB,4.5,8.3,4.8,5.3
